name,category,address,borough,neighborhood,latitude,longitude,phone,website,hours,is_free,description
ArchCare TimeBank,health,1249 5th Ave.,Manhattan,Harlem,40.794181,-73.951175,,http://scopeusa.org,,unknown,"<p>ArchCare cares for people of all ages and faiths where they are most comfortable and best able to receive it – at home, in the community and in nursing homes. As the Continuing Care Community of the Archdiocese of New York, we consider enhancing elders' lives and others who need extra help to stay healthy and live life to its fullest as more than just a job. To us it is a priviledge and our calling.</p>"
Astoria Delivery Service Inc,immigrant_services,157-18 SANFORD AVE,Queens,Flushing,40.761078,-73.808343,,http://www.youvisit.com/collegesearch,,unknown,<p>Delivery Service</p>
Coalition for Hispanic Family Services,immigrant_services,315 Wyckoff Ave,Brooklyn,Bushwick,40.700045,-73.911981,,http://allianceforfmcp.org,,unknown,"<p>Our goal is to empower children, youth and families with opportunities for success and self-reliance while reinforcing their sense of culture and self-identity. This is achieved through a holistic, culturally competent, family based approach.</p>"
Ecuadorian Civic Committee,immigrant_services,"9513 Roosevelt Avenue, 2nd Floor",Queens,Jackson Heights,40.748982,-73.871213,,http://www.eccofny.com/,,unknown,"<p>Our mission has been to help the public become well informed, productive members of the community. We do this by providing English as a Second Language classes, computer skills/literacy classes, photography classes, sewing classes, civics lessons, entrepreneurial workshops, citizenship naturalization, and immigration workshops, and many other activities, classes, and workshops throughout the year.</p>"
Healing The City Inc.,health,316 HIMROD STREET,Brooklyn,Bushwick,40.701914,-73.918059,,http://uhab.coop,,unknown,"<p>Healing The City Inc is an S Corp that establishes Wellness and Mental Health Awareness programs to schools, corporation and individuals. I also do a lot of free volunteer work within the community related around certain causes. I am looking for volunteers for an International Women's Day event. The event will raise money for Women for Women non for profit. Women for Women International is a nonprofit humanitarian organization that provides practical and moral support to women survivors of war.</p>"
Hope Community Inc,immigrant_services,174 East 104th Street,Manhattan,Harlem,40.790536,-73.94631,,https://www.louieslegacy.org/,,unknown,"<p>Hope Community, Inc. is a community-based not-for-profit affordable housing organization. Founded in 1968, the organization also enriches the lives of the people who live and work in East Harlem and surrounding neighborhoods through cultural arts, economic development, and social service alliances.</p> <p> </p> <p>Hope seeks to rebuild the physical infrastructure of East Harlem by creating attractive, high-quality affordable rental and owner-occupied housing. Hope seeks to strengthen the neighborhood's social fabric by assisting in the growth and success of local businesses, by assisting residents to enhance their lives and incomes, and by sponsoring community programs.</p>"
Ice Hockey in Harlem,immigrant_services,"127 West 127th Street, Suite 415",Manhattan,Harlem,40.809488,-73.945496,,http://www.icehockeyinharlem.org,,unknown,"<p>Ice Hockey in Harlem's mission is to improve the social and academic well being of children from the Harlem community. Our organization offers programming that allows children in our community to take advantage of the educational and academic opportunities provided by youth sports. Through participation in ice hockey, IHIH students learn the fundamentals of the game, engage in an active lifestyle, and broaden their life experiences.</p>"
It Takes A Village Daycare,immigrant_services,487 Manhattan avenue,Manhattan,Harlem,40.807801,-73.95481,,http://www.ariva.org,,unknown,"<p>MISSION: To foster a love of learning in each child through our educational environment, recognizing each child's unique talent, learning style and personality!</p>"
JustLeadershipUSA,legal,1900 Lexington Avenue,Manhattan,Harlem,40.800055,-73.940585,,https://djgotmefit.com,,unknown,"<p><strong>Mission</strong></p> <p>JustLeadershipUSA is dedicated to cutting the US correctional population in #halfby2030. JLUSA empowers people most affected by incarceration to drive policy reform.</p> <p>Mass incarceration is the most significant domestic threat to the fabric of our democracy. The reason for such high incarceration rates is not serious crimes but misguided policies, such as mandatory minimums, three-strikes laws and reductions in the availability of parole and other early release mechanisms. Through targeted advocacy, strengthening leadership and membership support, JustLeadershipUSA believes a decarcerated America is possible.</p> <p><strong>History</strong></p> <p>JLUSA was founded in November 2014 by national criminal justice reform advocate Glenn E. Martin, on the guiding principle that “those closest to the problem are closest to the solution, but furthest from resources and power”. The inspiration for JLUSA came from Mr. Martin’s personal experience, having been previously incarcerated for six years. JLUSA’s #halfby2030 mission came from Mr. Martin’s love for his youngest son, Joshua Martin, who will turn 18 in 2030.</p> <p>As president of the organization until December 2017, Mr. Martin worked with staff to launch the bold and successful #CLOSErikers campaign, propelling JLUSA onto the national stage; engaged in unflinching and non-partisan advocacy on the federal level; and set the foundation for the agency’s multi-city advocacy work. Mr. Martin and JLUSA’s Senior Training Consultant, David K. Mensah, developed the organization’s leadership program with input from over 50 formerly incarcerated leaders from across the US, with support from the Center for Institutional and Social Change at Columbia University. The Leading with Conviction advanced leadership development program and Emerging Leaders regional trainings are an investment in the individual and collective leadership of people directly impacted by the system of mass incarceration.</p> <p>JLUSA is the first organization in the country to call for the correctional system to be halved, and has inspired a movement of people and new organizations to follow our mission toward decarceration. From closing toxic jails and prisons to reforming pretrial laws, barriers to employment, and the wider system of mass criminalization, JLUSA’s bold campaigns with valued partners across the U.S. amplify the voices and expertise of directly impacted people who are leading us toward #halfby2030.</p>"
Lemontree Foods,health,34 35th St,Brooklyn,Sunset Park,40.657,-74.007356,,https://we.nyc/,,unknown,"<p>We want to make it easy for families to cook healthy and filling meals at home. Our meal kits cost less than store-bought groceries, and help NYC parents stretch a tight budget.<br /> <br /> Every week we deliver boxes filled with all of the nutritious and healthy ingredients Moms and Dads need to cook the meal their family deserves.</p>"
